,x_in,y_in,change,x_fin
46049,-240,20,1,20
46053,-240,0,1,40
46057,-240,280,1,-240
46061,-240,-20,1,60
46065,-240,160,1,-120
46069,-240,20,1,20
46073,-240,220,1,-180
46077,-240,-100,1,140
46081,-240,220,1,-180
46085,-240,-80,1,120
46089,-240,120,1,-80
46093,-240,60,1,-20
46097,-240,-120,1,160
46101,-240,260,1,-220
46105,-240,-140,1,180
46109,-240,260,1,-220
46113,240,-180,2,-220
46117,-240,-180,1,220
46121,-240,280,1,-240
46125,-240,80,1,-40
46129,-240,0,1,40
46133,-240,160,1,-120
46137,-240,20,1,20
46141,-240,240,1,-200
46145,-240,240,1,-200
46149,-240,180,1,-140
46153,-240,200,1,-160
46157,-240,200,1,-160
46161,-240,280,1,-240
46165,-240,40,1,0
46169,-240,280,1,-240
46173,-240,40,1,0
46177,-240,160,1,-120
46181,-240,-20,1,60
46185,-240,120,1,-80
46189,-240,-80,1,120
46193,-240,-140,1,180
46197,-240,200,1,-160
46201,-240,-40,1,80
46205,-240,-20,1,60
46209,-240,280,1,-240
46213,-240,60,1,-20
46217,-240,-160,1,200
46221,-240,-100,1,140
46225,-240,0,1,40
46229,-240,-20,1,60
46233,-240,140,1,-100
46237,-240,-20,1,60
46241,-240,-60,1,100
46245,-240,-160,1,200
46249,-240,-60,1,100
46253,-240,-60,1,100
46257,-240,220,1,-180
46261,-240,-20,1,60
46265,-240,180,1,-140
46269,-240,-60,1,100
46273,-240,160,1,-120
46277,-240,160,1,-120
46281,-240,180,1,-140
46285,-240,-40,1,80
46289,-240,-60,1,100
46293,-240,140,1,-100
46297,-240,160,1,-120
46301,-240,-140,1,180
46305,-240,40,1,0
46309,-240,20,1,20
46313,-240,20,1,20
46317,-240,-120,1,160
46321,-240,40,1,0
46325,-240,140,1,-100
46329,-240,-20,1,60
46333,-240,140,1,-100
46337,-240,240,1,-200
46341,-240,20,1,20
46345,-240,-140,1,180
46349,-240,-60,1,100
46353,-240,200,1,-160
46357,-240,-60,1,100
46361,-240,-120,1,160
46365,-240,40,1,0
46369,240,-180,2,-220
46373,240,100,2,60
46377,240,40,2,0
46381,240,260,2,220
46385,240,-40,2,-80
46389,240,-20,2,-60
46393,240,0,2,-40
46397,240,240,2,200
46401,-240,-180,1,220
46405,-240,-140,1,180
46409,-240,280,1,-240
46413,-240,-140,1,180
46417,-240,280,1,-240
46421,-240,-80,1,120
46425,-240,0,1,40
46429,-240,260,1,-220
46433,-240,-80,1,120
46437,-240,120,1,-80
46441,-240,180,1,-140
46445,-240,-140,1,180
46449,-240,-160,1,200
46453,-240,180,1,-140
46457,-240,60,1,-20
46461,-240,140,1,-100
46465,-240,-40,1,80
46469,-240,80,1,-40
46473,-240,0,1,40
46477,-240,260,1,-220
46481,-240,200,1,-160
46485,-240,-20,1,60
46489,240,-180,2,-220
46493,240,0,2,-40
46497,240,260,2,220
46501,240,-120,2,-160
46505,240,-40,2,-80
46509,240,80,2,40
46513,240,240,2,200
46517,240,100,2,60
46521,240,-80,2,-120
46525,240,-40,2,-80
46529,240,-140,2,-180
46533,240,40,2,0
46537,240,280,2,240
46541,-240,-180,1,220
46545,-240,60,1,-20
46549,-240,220,1,-180
46553,-240,-140,1,180
46557,-240,-140,1,180
46561,-240,240,1,-200
46565,-240,20,1,20
46569,-240,280,1,-240
46573,-240,-20,1,60
46577,-240,-100,1,140
46581,-240,60,1,-20
46585,-240,120,1,-80
46589,-240,-80,1,120
46593,-240,200,1,-160
46597,-240,-120,1,160
46601,-240,40,1,0
46605,-240,-140,1,180
46609,-240,-100,1,140
46613,-240,-120,1,160
46617,-240,100,1,-60
46621,-240,160,1,-120
46625,-240,240,1,-200
46629,-240,140,1,-100
46633,-240,-160,1,200
46637,-240,-20,1,60
46641,-240,120,1,-80
46645,240,-180,2,-220
46649,240,240,2,200
46653,240,-140,2,-180
46657,240,60,2,20
46661,240,0,2,-40
46665,240,140,2,100
46669,240,-20,2,-60
46673,240,40,2,0
46677,240,60,2,20
46681,240,260,2,220
46685,240,140,2,100
46689,240,-40,2,-80
46693,240,-140,2,-180
46697,240,180,2,140
46701,240,-80,2,-120
46705,240,220,2,180
46709,240,-140,2,-180
46713,240,160,2,120
46717,240,120,2,80
46721,240,160,2,120
46725,240,140,2,100
46729,240,0,2,-40
46733,240,40,2,0
46737,240,20,2,-20
46741,240,-140,2,-180
46745,240,-20,2,-60
46749,240,80,2,40
46753,240,240,2,200
46757,240,120,2,80
46761,240,140,2,100
46765,240,0,2,-40
46769,240,-20,2,-60
46773,240,280,2,240
46777,240,280,2,240
46781,240,140,2,100
46785,240,-120,2,-160
46789,240,-100,2,-140
46793,240,-160,2,-200
46797,-240,-180,1,220
46801,-240,-120,1,160
46805,-240,260,1,-220
46809,-240,180,1,-140
46813,-240,180,1,-140
46817,-240,160,1,-120
46821,-240,-60,1,100
46825,-240,-20,1,60
46829,-240,180,1,-140
46833,-240,240,1,-200
46837,-240,80,1,-40
46841,-240,160,1,-120
46845,-240,-100,1,140
46849,-240,40,1,0
46853,-240,-140,1,180
46857,-240,60,1,-20
46861,-240,-20,1,60
46865,-240,-100,1,140
46869,-240,-100,1,140
46873,-240,-40,1,80
46877,-240,140,1,-100
46881,-240,260,1,-220
46885,-240,280,1,-240
46889,-240,220,1,-180
46893,-240,-140,1,180
46897,-240,-140,1,180
46901,-240,180,1,-140
46905,-240,-60,1,100
46909,-240,20,1,20
46913,-240,20,1,20
46917,-240,-80,1,120
46921,-240,160,1,-120
46925,-240,60,1,-20
46929,-240,220,1,-180
46933,-240,-160,1,200
46937,-240,-100,1,140
46941,-240,20,1,20
46945,-240,20,1,20
46949,-240,0,1,40
46953,-240,60,1,-20
46957,-240,-80,1,120
46961,-240,280,1,-240
46965,-240,240,1,-200
